antecedent,consequent,support,confidence,lift
"['10', '35']",['36'],0.06,0.7,1.12
"['10', '35']",['38'],0.06,0.76,1.01
"['10', '9']",['36'],0.06,0.71,1.14
"['10', '9']",['38'],0.07,0.83,1.1
"['10', '43']",['38'],0.07,0.82,1.08
"['10', '39']",['38'],0.07,0.81,1.07
"['10', '47']",['38'],0.07,0.82,1.08
"['10', '40', '36']",['38'],0.05,0.83,1.09
"['10', '40']",['38'],0.07,0.81,1.07
"['10', '29', '36']",['38'],0.05,0.83,1.1
"['10', '29']",['38'],0.08,0.82,1.09
"['10', '14']",['36'],0.07,0.72,1.14
"['10', '38', '14']",['36'],0.05,0.74,1.18
"['10', '36', '14']",['38'],0.05,0.83,1.1
"['10', '14']",['38'],0.07,0.8,1.06
"['10', '36', '17']",['38'],0.05,0.85,1.12
"['10', '17']",['38'],0.07,0.81,1.07
"['10', '3', '11']",['38'],0.05,0.82,1.08
"['10', '3', '38']",['36'],0.06,0.71,1.13
"['10', '3', '36']",['38'],0.06,0.85,1.12
"['10', '3']",['38'],0.08,0.8,1.06
"['10', '8', '36']",['38'],0.06,0.85,1.12
"['10', '8']",['38'],0.08,0.81,1.08
"['10', '28', '36']",['38'],0.06,0.81,1.07
"['10', '28']",['38'],0.08,0.8,1.06
"['10', '48', '11']",['38'],0.05,0.82,1.09
"['10', '48', '36']",['38'],0.06,0.85,1.13
"['10', '48']",['38'],0.09,0.82,1.08
"['10', '11', '36']",['38'],0.06,0.82,1.08
"['10', '11']",['38'],0.09,0.82,1.08
"['10', '36']",['38'],0.11,0.82,1.08
['10'],['38'],0.16,0.79,1.05
"['23', '4']",['38'],0.05,0.83,1.1
"['33', '4']",['38'],0.06,0.83,1.09
"['35', '4']",['38'],0.06,0.82,1.09
"['29', '4']",['36'],0.06,0.71,1.13
"['29', '4']",['38'],0.07,0.8,1.06
"['14', '4']",['38'],0.07,0.83,1.09
"['4', '43']",['36'],0.06,0.75,1.19
"['43', '4', '36']",['38'],0.05,0.81,1.07
"['38', '4', '43']",['36'],0.05,0.75,1.2
"['4', '43']",['38'],0.07,0.81,1.07
"['47', '4']",['38'],0.07,0.82,1.08
"['4', '9', '36']",['38'],0.05,0.87,1.14
"['9', '4']",['38'],0.08,0.84,1.11
"['4', '36', '17']",['38'],0.06,0.83,1.1
"['38', '4', '17']",['36'],0.06,0.7,1.12
"['4', '17']",['38'],0.08,0.81,1.07
"['3', '4', '36']",['38'],0.06,0.85,1.12
"['3', '4']",['38'],0.08,0.82,1.08
"['28', '4', '36']",['38'],0.06,0.83,1.09
"['28', '4']",['38'],0.08,0.81,1.07
"['39', '4', '36']",['38'],0.06,0.82,1.08
"['39', '4', '38']",['36'],0.06,0.71,1.12
"['39', '4']",['38'],0.08,0.79,1.04
"['40', '4', '36']",['38'],0.05,0.79,1.05
"['4', '40']",['38'],0.08,0.77,1.02
"['8', '48', '4']",['38'],0.05,0.85,1.13
"['8', '4', '11']",['38'],0.05,0.85,1.13
"['8', '4', '36']",['38'],0.06,0.84,1.11
"['8', '4']",['38'],0.09,0.82,1.09
"['48', '4', '11']",['38'],0.05,0.85,1.12
"['48', '4', '36']",['38'],0.06,0.84,1.11
"['48', '4']",['38'],0.09,0.83,1.1
"['36', '4', '11']",['38'],0.06,0.85,1.13
"['4', '11']",['38'],0.09,0.83,1.1
"['4', '36']",['38'],0.11,0.82,1.08
['4'],['38'],0.16,0.8,1.06
"['34', '21']",['38'],0.05,0.79,1.04
"['34', '33']",['38'],0.05,0.78,1.03
"['14', '34']",['38'],0.06,0.79,1.04
"['34', '29']",['36'],0.06,0.72,1.15
"['34', '29']",['38'],0.06,0.8,1.06
"['35', '34']",['36'],0.06,0.71,1.13
"['35', '34']",['38'],0.07,0.81,1.07
"['34', '40']",['38'],0.07,0.77,1.02
"['34', '43']",['36'],0.07,0.73,1.17
"['34', '43', '36']",['38'],0.06,0.84,1.11
"['34', '38', '43']",['36'],0.06,0.76,1.21
"['34', '43']",['38'],0.07,0.81,1.08
"['34', '39', '36']",['38'],0.05,0.81,1.06
"['34', '39', '38']",['36'],0.05,0.71,1.13
"['34', '39']",['38'],0.07,0.79,1.04
"['34', '47']",['36'],0.07,0.7,1.12
"['34', '38', '47']",['36'],0.05,0.72,1.15
"['34', '47', '36']",['38'],0.05,0.79,1.05
"['34', '47']",['38'],0.07,0.77,1.02
"['34', '17']",['36'],0.07,0.7,1.12
"['34', '36', '17']",['38'],0.05,0.78,1.03
"['34', '17']",['38'],0.07,0.79,1.04
"['34', '28', '36']",['38'],0.05,0.81,1.07
"['34', '28', '38']",['36'],0.05,0.7,1.12
"['34', '28']",['38'],0.08,0.79,1.04
"['34', '9', '36']",['38'],0.05,0.79,1.04
"['34', '9']",['38'],0.07,0.78,1.03
"['3', '34', '36']",['38'],0.05,0.78,1.03
"['3', '34']",['38'],0.08,0.77,1.02
"['8', '48', '34']",['38'],0.05,0.8,1.06
"['8', '34', '11']",['38'],0.05,0.81,1.07
"['8', '34', '38']",['36'],0.06,0.71,1.13
"['8', '34', '36']",['38'],0.06,0.82,1.08
"['8', '34']",['38'],0.08,0.8,1.05
"['48', '34', '11']",['36'],0.05,0.71,1.13
"['48', '34', '11']",['38'],0.06,0.79,1.04
"['34', '11']",['36'],0.08,0.7,1.12
"['11', '34', '36']",['38'],0.07,0.79,1.05
"['34', '38', '11']",['36'],0.07,0.72,1.14
"['34', '11']",['38'],0.09,0.78,1.03
"['48', '34']",['36'],0.08,0.7,1.12
"['48', '34', '38']",['36'],0.07,0.7,1.12
"['48', '34', '36']",['38'],0.07,0.79,1.05
"['48', '34']",['38'],0.09,0.79,1.05
"['34', '36']",['38'],0.11,0.78,1.03
['34'],['38'],0.16,0.77,1.02
"['12', '21']",['38'],0.06,0.82,1.08
"['12', '33']",['38'],0.05,0.78,1.03
"['14', '12']",['38'],0.07,0.79,1.04
"['12', '9']",['38'],0.07,0.75,0.99
"['35', '12']",['36'],0.06,0.7,1.12
"['35', '12', '38']",['36'],0.05,0.73,1.16
"['35', '12', '36']",['38'],0.05,0.83,1.09
"['35', '12']",['38'],0.07,0.8,1.05
"['12', '43', '36']",['38'],0.05,0.83,1.09
"['12', '38', '43']",['36'],0.05,0.72,1.15
"['12', '43']",['38'],0.07,0.79,1.05
"['12', '29', '36']",['38'],0.05,0.8,1.05
"['12', '29', '38']",['36'],0.05,0.71,1.13
"['12', '29']",['38'],0.07,0.76,1.01
"['12', '47', '36']",['38'],0.05,0.84,1.11
"['12', '47']",['38'],0.08,0.81,1.07
"['12', '40', '36']",['38'],0.05,0.8,1.05
"['12', '40']",['38'],0.08,0.8,1.05
"['12', '36', '17']",['38'],0.06,0.82,1.09
"['12', '17']",['38'],0.08,0.79,1.05
"['12', '39', '36']",['38'],0.05,0.8,1.05
"['12', '39']",['38'],0.08,0.76,1.01
"['3', '12', '48']",['38'],0.05,0.83,1.1
"['3', '12', '28']",['38'],0.05,0.86,1.13
"['3', '12', '38']",['36'],0.06,0.72,1.15
"['3', '12', '36']",['38'],0.06,0.83,1.1
"['3', '12']",['38'],0.09,0.8,1.05
"['48', '12', '11']",['38'],0.05,0.8,1.05
"['11', '12', '36']",['38'],0.06,0.81,1.07
"['12', '11']",['38'],0.09,0.8,1.06
"['48', '12', '28']",['38'],0.06,0.8,1.06
"['12', '28', '36']",['38'],0.06,0.82,1.08
"['12', '28']",['38'],0.09,0.8,1.05
"['8', '48', '12']",['38'],0.05,0.76,1.01
"['8', '12', '38']",['36'],0.06,0.7,1.12
"['8', '12', '36']",['38'],0.06,0.8,1.05
"['8', '12']",['38'],0.09,0.75,0.99
"['48', '12', '36']",['38'],0.07,0.81,1.07
"['48', '12']",['38'],0.1,0.78,1.03
"['12', '36']",['38'],0.11,0.79,1.05
['12'],['38'],0.17,0.76,1.01
"['25', '5']",['38'],0.05,0.8,1.05
"['25', '23']",['38'],0.06,0.83,1.1
"['25', '33']",['38'],0.06,0.77,1.02
"['25', '21']",['36'],0.05,0.7,1.12
"['25', '21']",['38'],0.06,0.79,1.04
"['25', '43']",['36'],0.06,0.71,1.14
"['25', '43', '36']",['38'],0.05,0.83,1.1
"['25', '38', '43']",['36'],0.05,0.74,1.18
"['25', '43']",['38'],0.07,0.8,1.06
"['25', '35']",['36'],0.06,0.73,1.16
"['25', '35', '38']",['36'],0.05,0.74,1.18
"['25', '35', '36']",['38'],0.05,0.84,1.11
"['25', '35']",['38'],0.07,0.83,1.1
"['25', '29']",['36'],0.07,0.7,1.12
"['25', '29', '36']",['38'],0.05,0.81,1.07
"['25', '29', '38']",['36'],0.05,0.71,1.13
"['25', '29']",['38'],0.08,0.8,1.06
"['25', '36', '14']",['38'],0.05,0.82,1.08
"['25', '14']",['38'],0.07,0.79,1.04
"['25', '9', '36']",['38'],0.05,0.78,1.03
"['25', '9']",['38'],0.08,0.76,1.0
"['25', '11', '17']",['38'],0.05,0.84,1.11
"['25', '36', '17']",['38'],0.06,0.84,1.11
"['25', '17']",['38'],0.09,0.81,1.07
"['25', '47', '36']",['38'],0.06,0.78,1.03
"['25', '47']",['38'],0.08,0.78,1.03
"['25', '8', '40']",['38'],0.05,0.83,1.1
"['25', '40', '11']",['38'],0.05,0.81,1.06
"['25', '40', '36']",['38'],0.06,0.81,1.07
"['25', '38', '40']",['36'],0.06,0.7,1.12
"['25', '40']",['38'],0.09,0.8,1.06
"['25', '3', '28']",['38'],0.05,0.83,1.09
"['25', '3', '48']",['38'],0.05,0.83,1.09
"['25', '3', '11']",['38'],0.05,0.83,1.09
"['25', '3', '36']",['38'],0.06,0.82,1.08
"['25', '3']",['38'],0.09,0.79,1.05
"['25', '48', '28']",['38'],0.05,0.8,1.06
"['25', '28', '11']",['38'],0.05,0.82,1.08
"['25', '28', '36']",['38'],0.06,0.81,1.07
"['25', '28']",['38'],0.09,0.8,1.06
"['25', '48', '8']",['38'],0.05,0.82,1.08
"['25', '39', '8']",['38'],0.06,0.81,1.07
"['25', '8', '11']",['38'],0.06,0.83,1.1
"['25', '8']",['36'],0.08,0.7,1.12
"['25', '38', '8']",['36'],0.07,0.73,1.16
"['25', '8', '36']",['38'],0.07,0.83,1.1
"['25', '8']",['38'],0.09,0.8,1.06
"['25', '48', '39']",['38'],0.05,0.79,1.04
"['25', '39', '11']",['38'],0.05,0.78,1.03
"['25', '39', '36']",['38'],0.07,0.8,1.05
"['25', '39']",['38'],0.09,0.79,1.05
"['25', '48', '11']",['36'],0.06,0.73,1.16
"['25', '48', '11']",['38'],0.06,0.79,1.04
"['25', '48', '38']",['36'],0.07,0.71,1.12
"['25', '48', '36']",['38'],0.07,0.79,1.05
"['25', '48']",['38'],0.1,0.77,1.02
"['25', '11', '36']",['38'],0.07,0.79,1.04
"['25', '11']",['38'],0.1,0.79,1.04
"['25', '36']",['38'],0.12,0.79,1.04
['25'],['38'],0.18,0.78,1.03
"['42', '0']",['38'],0.05,0.82,1.08
"['5', '0']",['38'],0.05,0.78,1.04
"['0', '26']",['38'],0.05,0.77,1.02
"['23', '0']",['38'],0.05,0.82,1.08
"['7', '0']",['38'],0.05,0.79,1.05
"['33', '0']",['38'],0.06,0.77,1.02
"['21', '0']",['36'],0.06,0.7,1.12
"['21', '0']",['38'],0.06,0.77,1.02
"['35', '0']",['38'],0.07,0.78,1.03
"['43', '36', '0']",['38'],0.05,0.82,1.09
"['38', '43', '0']",['36'],0.05,0.72,1.14
"['43', '0']",['38'],0.08,0.8,1.06
"['29', '0']",['36'],0.07,0.72,1.15
"['38', '29', '0']",['36'],0.06,0.73,1.16
"['29', '36', '0']",['38'],0.06,0.78,1.04
"['29', '0']",['38'],0.08,0.78,1.03
"['14', '36', '0']",['38'],0.05,0.8,1.06
"['14', '0']",['38'],0.08,0.79,1.04
"['9', '36', '0']",['38'],0.05,0.78,1.04
"['9', '0']",['38'],0.08,0.76,1.0
"['39', '36', '0']",['38'],0.06,0.78,1.03
"['39', '0']",['38'],0.08,0.77,1.01
"['48', '0', '17']",['38'],0.05,0.81,1.07
"['0', '11', '17']",['38'],0.05,0.83,1.09
"['0', '36', '17']",['38'],0.06,0.8,1.06
"['0', '17']",['38'],0.09,0.81,1.07
"['47', '11', '0']",['38'],0.05,0.82,1.08
"['48', '47', '0']",['38'],0.05,0.82,1.09
"['47', '36', '0']",['38'],0.06,0.8,1.06
"['47', '0']",['38'],0.09,0.79,1.05
"['8', '40', '0']",['38'],0.05,0.8,1.05
"['40', '11', '0']",['38'],0.05,0.81,1.07
"['40', '36', '0']",['38'],0.06,0.8,1.05
"['40', '0']",['38'],0.09,0.79,1.05
"['3', '28', '0']",['38'],0.05,0.81,1.07
"['48', '28', '0']",['38'],0.06,0.81,1.07
"['28', '11', '0']",['38'],0.06,0.79,1.04
"['28', '36', '0']",['38'],0.06,0.79,1.05
"['28', '0']",['38'],0.09,0.78,1.03
"['8', '3', '0']",['38'],0.05,0.8,1.05
"['8', '48', '0']",['38'],0.06,0.82,1.08
"['8', '11', '0']",['38'],0.06,0.8,1.06
"['8', '36', '0']",['38'],0.06,0.79,1.05
"['8', '0']",['38'],0.1,0.79,1.04
"['3', '11', '0']",['38'],0.06,0.79,1.05
"['3', '48', '0']",['38'],0.06,0.79,1.04
"['3', '36', '0']",['38'],0.06,0.79,1.04
"['3', '0']",['38'],0.1,0.79,1.04
"['48', '11', '0']",['38'],0.06,0.78,1.04
"['11', '36', '0']",['38'],0.07,0.78,1.03
"['11', '0']",['38'],0.1,0.78,1.04
"['48', '36', '0']",['38'],0.07,0.8,1.06
"['48', '0']",['38'],0.11,0.79,1.04
"['36', '0']",['38'],0.12,0.77,1.02
['0'],['38'],0.18,0.77,1.01
"['42', '26']",['38'],0.05,0.85,1.13
"['5', '26']",['38'],0.05,0.83,1.09
"['7', '26']",['38'],0.06,0.88,1.16
"['49', '26']",['38'],0.06,0.8,1.06
"['23', '26']",['38'],0.06,0.81,1.07
"['33', '26']",['38'],0.06,0.79,1.04
"['21', '26']",['38'],0.06,0.81,1.06
"['35', '38', '26']",['36'],0.05,0.73,1.16
"['35', '36', '26']",['38'],0.05,0.83,1.1
"['35', '26']",['38'],0.07,0.79,1.04
"['14', '38', '26']",['36'],0.05,0.72,1.14
"['14', '36', '26']",['38'],0.05,0.87,1.14
"['14', '26']",['38'],0.08,0.82,1.08
"['43', '26']",['36'],0.07,0.72,1.14
"['43', '36', '26']",['38'],0.06,0.83,1.1
"['38', '43', '26']",['36'],0.06,0.75,1.2
"['43', '26']",['38'],0.08,0.79,1.05
"['48', '29', '26']",['38'],0.05,0.85,1.13
"['29', '26']",['36'],0.07,0.71,1.14
"['38', '29', '26']",['36'],0.06,0.72,1.15
"['29', '36', '26']",['38'],0.06,0.8,1.06
"['29', '26']",['38'],0.08,0.8,1.05
"['39', '26']",['36'],0.08,0.71,1.13
"['39', '38', '26']",['36'],0.06,0.72,1.15
"['39', '36', '26']",['38'],0.06,0.81,1.07
"['39', '26']",['38'],0.08,0.79,1.04
"['47', '11', '26']",['38'],0.05,0.85,1.13
"['28', '47', '26']",['38'],0.05,0.83,1.1
"['48', '47', '26']",['38'],0.05,0.84,1.11
"['47', '26']",['36'],0.08,0.7,1.12
"['38', '47', '26']",['36'],0.07,0.74,1.18
"['47', '36', '26']",['38'],0.07,0.85,1.12
"['47', '26']",['38'],0.09,0.8,1.06
"['8', '9', '26']",['38'],0.05,0.85,1.12
"['28', '9', '26']",['38'],0.05,0.82,1.09
"['48', '9', '26']",['38'],0.05,0.84,1.11
"['9', '11', '26']",['38'],0.05,0.84,1.11
"['9', '36', '26']",['38'],0.06,0.86,1.14
"['9', '26']",['38'],0.09,0.82,1.08
"['8', '40', '26']",['38'],0.05,0.83,1.1
"['28', '40', '26']",['38'],0.05,0.84,1.11
"['40', '11', '26']",['38'],0.05,0.85,1.12
"['48', '40', '26']",['38'],0.05,0.85,1.12
"['40', '36', '26']",['38'],0.07,0.87,1.15
"['40', '26']",['38'],0.09,0.83,1.09
"['3', '48', '26']",['38'],0.05,0.84,1.11
"['3', '28', '26']",['38'],0.05,0.82,1.09
"['3', '11', '26']",['38'],0.06,0.83,1.1
"['3', '38', '26']",['36'],0.07,0.72,1.14
"['3', '36', '26']",['38'],0.07,0.85,1.12
"['3', '26']",['38'],0.09,0.81,1.07
"['26', '28', '17']",['38'],0.05,0.81,1.08
"['26', '11', '17']",['38'],0.05,0.82,1.08
"['48', '26', '17']",['38'],0.05,0.81,1.06
"['26', '38', '17']",['36'],0.07,0.72,1.15
"['26', '36', '17']",['38'],0.07,0.83,1.1
"['26', '17']",['38'],0.09,0.78,1.03
"['8', '28', '26']",['38'],0.05,0.8,1.06
"['8', '48', '26']",['38'],0.06,0.81,1.06
"['8', '11', '26']",['38'],0.06,0.8,1.06
"['8', '38', '26']",['36'],0.07,0.73,1.17
"['8', '36', '26']",['38'],0.07,0.83,1.1
"['8', '26']",['38'],0.1,0.79,1.04
"['48', '11', '26']",['38'],0.06,0.83,1.1
"['48', '28', '26']",['38'],0.06,0.83,1.1
"['48', '38', '26']",['36'],0.07,0.7,1.12
"['48', '36', '26']",['38'],0.07,0.86,1.14
"['48', '26']",['38'],0.1,0.81,1.07
"['28', '11', '26']",['36'],0.05,0.71,1.13
"['28', '11', '26']",['38'],0.06,0.8,1.06
"['38', '28', '26']",['36'],0.07,0.71,1.13
"['28', '36', '26']",['38'],0.07,0.82,1.08
"['28', '26']",['38'],0.1,0.79,1.05
"['11', '36', '26']",['38'],0.07,0.83,1.09
"['38', '11', '26']",['36'],0.07,0.71,1.13
"['11', '26']",['38'],0.1,0.8,1.06
"['36', '26']",['38'],0.13,0.81,1.07
['26'],['38'],0.19,0.78,1.03
"['49', '42']",['38'],0.05,0.81,1.07
"['5', '42']",['38'],0.06,0.79,1.04
"['42', '23']",['38'],0.06,0.84,1.11
"['42', '33']",['38'],0.07,0.83,1.1
"['21', '42']",['38'],0.07,0.82,1.09
"['35', '42']",['38'],0.07,0.81,1.07
"['43', '42', '36']",['38'],0.05,0.85,1.13
"['42', '43']",['38'],0.08,0.84,1.11
"['29', '42', '36']",['38'],0.06,0.82,1.09
"['29', '42']",['38'],0.08,0.82,1.08
"['14', '48', '42']",['38'],0.05,0.81,1.06
"['14', '42', '36']",['38'],0.06,0.84,1.11
"['14', '42']",['38'],0.08,0.8,1.05
"['48', '42', '9']",['38'],0.05,0.83,1.1
"['42', '9', '11']",['38'],0.05,0.83,1.09
"['42', '9', '36']",['38'],0.06,0.82,1.09
"['42', '9']",['38'],0.09,0.81,1.07
"['28', '42', '17']",['38'],0.05,0.83,1.09
"['48', '42', '17']",['38'],0.06,0.84,1.11
"['42', '11', '17']",['38'],0.06,0.83,1.09
"['42', '36', '17']",['38'],0.06,0.82,1.09
"['42', '17']",['38'],0.1,0.81,1.06
"['39', '28', '42']",['38'],0.05,0.82,1.08
"['39', '42', '40']",['38'],0.05,0.82,1.08
"['8', '39', '42']",['38'],0.05,0.82,1.08
"['39', '42', '11']",['38'],0.06,0.83,1.1
"['48', '39', '42']",['38'],0.06,0.81,1.07
"['39', '42', '36']",['38'],0.06,0.82,1.09
"['39', '42']",['38'],0.1,0.81,1.06
"['47', '40', '42']",['38'],0.05,0.81,1.07
"['28', '47', '42']",['38'],0.05,0.84,1.1
"['3', '47', '42']",['38'],0.05,0.79,1.05
"['8', '47', '42']",['38'],0.05,0.82,1.09
"['47', '11', '42']",['38'],0.06,0.86,1.13
"['48', '47', '42']",['38'],0.06,0.8,1.06
"['47', '36', '42']",['38'],0.07,0.82,1.09
"['47', '42']",['38'],0.1,0.8,1.05
"['3', '28', '42']",['38'],0.05,0.84,1.12
"['28', '42', '40']",['38'],0.05,0.83,1.1
"['8', '28', '42']",['38'],0.05,0.82,1.09
"['28', '42', '11']",['38'],0.06,0.83,1.1
"['48', '28', '42']",['38'],0.06,0.85,1.12
"['28', '42', '36']",['38'],0.07,0.84,1.11
"['28', '42']",['38'],0.1,0.82,1.09
"['40', '42', '11']",['38'],0.06,0.82,1.09
"['8', '42', '40']",['38'],0.06,0.83,1.09
