antecedent,consequent,support,confidence,lift
"['11', '39']",['38'],0.2,0.79,1.04
"['11', '4']",['38'],0.09,0.83,1.1
"['11', '40']",['38'],0.2,0.8,1.06
"['11', '41']",['38'],0.06,0.81,1.07
"['11', '42']",['38'],0.11,0.81,1.08
"['11', '43']",['38'],0.17,0.81,1.07
"['11', '45']",['38'],0.07,0.83,1.09
"['11', '47']",['38'],0.19,0.81,1.08
"['11', '48']",['38'],0.23,0.79,1.04
"['11', '49']",['38'],0.11,0.78,1.03
"['11', '5']",['38'],0.11,0.8,1.05
"['11', '6']",['38'],0.08,0.79,1.05
"['11', '7']",['38'],0.11,0.82,1.08
"['11', '8']",['38'],0.22,0.79,1.05
"['11', '9']",['38'],0.19,0.79,1.05
"['13', '14']",['38'],0.05,0.79,1.04
"['17', '13']",['38'],0.07,0.81,1.07
"['13', '28']",['38'],0.07,0.83,1.1
"['29', '13']",['38'],0.06,0.81,1.06
"['3', '13']",['38'],0.06,0.77,1.02
"['35', '13']",['38'],0.05,0.82,1.09
"['36', '13']",['38'],0.09,0.8,1.06
"['13', '39']",['36'],0.06,0.71,1.13
"['13', '47']",['36'],0.06,0.72,1.15
"['13', '39']",['38'],0.07,0.82,1.09
"['40', '13']",['38'],0.05,0.79,1.05
"['43', '13']",['38'],0.06,0.84,1.11
"['13', '47']",['38'],0.06,0.79,1.04
"['48', '13']",['38'],0.07,0.77,1.02
"['8', '13']",['38'],0.07,0.78,1.04
"['9', '13']",['38'],0.06,0.82,1.09
"['21', '23']",['38'],0.08,0.82,1.09
"['21', '25']",['36'],0.05,0.7,1.12
"['21', '25']",['38'],0.06,0.79,1.04
"['21', '26']",['38'],0.06,0.81,1.06
"['21', '28']",['38'],0.13,0.78,1.03
"['21', '29']",['36'],0.1,0.73,1.16
"['21', '29']",['38'],0.11,0.82,1.08
"['21', '3']",['38'],0.12,0.8,1.06
"['21', '33']",['38'],0.08,0.79,1.04
"['21', '34']",['38'],0.05,0.79,1.04
"['21', '35']",['36'],0.09,0.73,1.16
"['21', '35']",['38'],0.1,0.82,1.08
"['21', '36']",['38'],0.17,0.8,1.05
"['21', '43']",['36'],0.1,0.72,1.14
"['21', '47']",['36'],0.1,0.71,1.14
"['21', '5']",['36'],0.06,0.71,1.13
"['21', '7']",['36'],0.05,0.71,1.14
"['21', '8']",['36'],0.11,0.7,1.12
"['21', '39']",['38'],0.12,0.79,1.05
"['21', '40']",['38'],0.11,0.79,1.04
"['21', '42']",['38'],0.07,0.82,1.09
"['21', '43']",['38'],0.11,0.81,1.07
"['21', '47']",['38'],0.12,0.81,1.07
"['21', '48']",['38'],0.14,0.8,1.06
"['21', '49']",['38'],0.07,0.82,1.08
"['21', '5']",['38'],0.07,0.82,1.08
"['21', '7']",['38'],0.06,0.8,1.06
"['21', '8']",['38'],0.13,0.79,1.04
"['21', '9']",['38'],0.12,0.79,1.05
"['28', '25']",['38'],0.09,0.8,1.06
"['29', '25']",['36'],0.07,0.7,1.12
"['29', '25']",['38'],0.08,0.8,1.06
"['3', '25']",['38'],0.09,0.79,1.05
"['33', '25']",['38'],0.06,0.77,1.02
"['35', '25']",['36'],0.06,0.73,1.16
"['35', '25']",['38'],0.07,0.83,1.1
"['36', '25']",['38'],0.12,0.79,1.04
"['43', '25']",['36'],0.06,0.71,1.14
"['8', '25']",['36'],0.08,0.7,1.12
"['39', '25']",['38'],0.09,0.79,1.05
"['40', '25']",['38'],0.09,0.8,1.06
"['43', '25']",['38'],0.07,0.8,1.06
"['47', '25']",['38'],0.08,0.78,1.03
"['48', '25']",['38'],0.1,0.77,1.02
"['5', '25']",['38'],0.05,0.8,1.05
"['8', '25']",['38'],0.09,0.8,1.06
"['9', '25']",['38'],0.08,0.76,1.0
"['27', '36']",['38'],0.06,0.84,1.11
"['29', '28']",['38'],0.16,0.79,1.05
"['3', '28']",['38'],0.2,0.8,1.06
"['31', '28']",['38'],0.06,0.83,1.09
"['33', '28']",['38'],0.12,0.79,1.04
"['34', '28']",['38'],0.08,0.79,1.04
"['35', '28']",['36'],0.14,0.71,1.14
"['35', '28']",['38'],0.16,0.82,1.09
"['36', '28']",['38'],0.25,0.78,1.03
"['41', '28']",['36'],0.05,0.71,1.14
"['43', '28']",['36'],0.15,0.7,1.12
"['45', '28']",['36'],0.06,0.7,1.12
"['39', '28']",['38'],0.18,0.8,1.05
"['4', '28']",['38'],0.08,0.81,1.07
"['40', '28']",['38'],0.18,0.8,1.05
"['41', '28']",['38'],0.06,0.81,1.08
"['42', '28']",['38'],0.1,0.82,1.09
"['43', '28']",['38'],0.17,0.81,1.07
"['45', '28']",['38'],0.07,0.86,1.13
"['47', '28']",['38'],0.18,0.81,1.07
"['48', '28']",['38'],0.22,0.81,1.07
"['49', '28']",['38'],0.1,0.8,1.06
"['5', '28']",['38'],0.11,0.8,1.06
"['6', '28']",['38'],0.07,0.82,1.08
"['7', '28']",['38'],0.11,0.82,1.08
"['8', '28']",['38'],0.2,0.78,1.03
"['9', '28']",['38'],0.17,0.8,1.05
"['29', '3']",['38'],0.15,0.8,1.05
"['29', '31']",['38'],0.05,0.83,1.09
"['33', '29']",['38'],0.09,0.79,1.04
"['29', '34']",['36'],0.06,0.72,1.15
"['29', '34']",['38'],0.06,0.8,1.06
"['35', '29']",['36'],0.1,0.7,1.12
"['35', '29']",['38'],0.12,0.78,1.02
"['29', '36']",['38'],0.21,0.79,1.05
"['4', '29']",['36'],0.06,0.71,1.13
"['29', '43']",['36'],0.12,0.72,1.15
"['29', '45']",['36'],0.05,0.72,1.15
"['5', '29']",['36'],0.08,0.72,1.14
"['29', '7']",['36'],0.07,0.71,1.12
"['29', '39']",['38'],0.14,0.79,1.04
"['4', '29']",['38'],0.07,0.8,1.06
"['29', '40']",['38'],0.14,0.8,1.06
"['29', '42']",['38'],0.08,0.82,1.08
"['29', '43']",['38'],0.13,0.79,1.05
"['29', '45']",['38'],0.06,0.8,1.05
"['29', '47']",['38'],0.14,0.8,1.06
"['48', '29']",['38'],0.18,0.81,1.07
"['29', '49']",['38'],0.08,0.78,1.03
"['5', '29']",['38'],0.09,0.79,1.05
"['29', '6']",['38'],0.05,0.81,1.07
"['29', '7']",['38'],0.08,0.81,1.07
"['8', '29']",['38'],0.16,0.79,1.04
"['29', '9']",['38'],0.15,0.81,1.07
"['35', '34']",['36'],0.06,0.71,1.13
"['35', '34']",['38'],0.07,0.81,1.07
"['36', '34']",['38'],0.11,0.78,1.03
"['43', '34']",['36'],0.07,0.73,1.17
"['47', '34']",['36'],0.07,0.7,1.12
"['48', '34']",['36'],0.08,0.7,1.12
"['39', '34']",['38'],0.07,0.79,1.04
"['40', '34']",['38'],0.07,0.77,1.02
"['43', '34']",['38'],0.07,0.81,1.08
"['47', '34']",['38'],0.07,0.77,1.02
"['48', '34']",['38'],0.09,0.79,1.05
"['8', '34']",['38'],0.08,0.8,1.05
"['9', '34']",['38'],0.07,0.78,1.03
"['36', '39']",['38'],0.23,0.8,1.05
"['4', '36']",['38'],0.11,0.82,1.08
"['40', '36']",['38'],0.23,0.78,1.03
"['41', '36']",['38'],0.08,0.83,1.09
"['41', '38']",['36'],0.08,0.73,1.16
"['42', '36']",['38'],0.13,0.81,1.07
"['43', '36']",['38'],0.22,0.8,1.06
"['45', '36']",['38'],0.09,0.8,1.05
"['36', '46']",['38'],0.05,0.78,1.03
"['36', '47']",['38'],0.23,0.8,1.06
"['48', '36']",['38'],0.27,0.8,1.05
"['49', '36']",['38'],0.13,0.79,1.04
"['5', '36']",['38'],0.14,0.8,1.06
"['6', '36']",['38'],0.08,0.77,1.02
"['7', '36']",['38'],0.14,0.8,1.06
"['8', '36']",['38'],0.26,0.79,1.05
"['9', '36']",['38'],0.22,0.78,1.03
"['4', '43']",['36'],0.06,0.75,1.19
"['41', '47']",['36'],0.05,0.75,1.2
"['8', '41']",['36'],0.05,0.71,1.13
"['7', '43']",['36'],0.07,0.7,1.12
"['45', '47']",['36'],0.05,0.7,1.12
"['8', '45']",['36'],0.06,0.72,1.15
"['7', '47']",['36'],0.08,0.71,1.13
"['5', '7']",['36'],0.05,0.71,1.12
"['8', '7']",['36'],0.09,0.7,1.12
"['4', '39']",['38'],0.08,0.79,1.04
"['40', '39']",['38'],0.17,0.79,1.04
"['41', '39']",['38'],0.05,0.79,1.05
"['42', '39']",['38'],0.1,0.81,1.06
"['43', '39']",['38'],0.14,0.8,1.06
"['45', '39']",['38'],0.06,0.79,1.04
"['47', '39']",['38'],0.16,0.81,1.06
"['48', '39']",['38'],0.2,0.8,1.06
"['49', '39']",['38'],0.1,0.78,1.03
"['5', '39']",['38'],0.1,0.8,1.06
"['6', '39']",['38'],0.07,0.79,1.04
"['7', '39']",['38'],0.1,0.82,1.08
"['8', '39']",['38'],0.19,0.8,1.05
"['9', '39']",['38'],0.16,0.79,1.05
"['4', '40']",['38'],0.08,0.77,1.02
"['4', '43']",['38'],0.07,0.81,1.07
"['4', '47']",['38'],0.07,0.82,1.08
"['48', '4']",['38'],0.09,0.83,1.1
"['4', '8']",['38'],0.09,0.82,1.09
"['4', '9']",['38'],0.08,0.84,1.11
"['41', '40']",['38'],0.05,0.84,1.1
"['42', '40']",['38'],0.1,0.8,1.05
"['43', '40']",['38'],0.15,0.78,1.03
"['45', '40']",['38'],0.06,0.76,1.01
"['40', '47']",['38'],0.16,0.79,1.05
"['48', '40']",['38'],0.2,0.79,1.05
"['49', '40']",['38'],0.1,0.79,1.05
"['5', '40']",['38'],0.1,0.79,1.04
"['6', '40']",['38'],0.06,0.78,1.04
"['7', '40']",['38'],0.09,0.79,1.05
"['8', '40']",['38'],0.2,0.79,1.04
"['9', '40']",['38'],0.16,0.78,1.03
"['41', '47']",['38'],0.06,0.83,1.09
"['48', '41']",['38'],0.06,0.82,1.08
"['8', '41']",['38'],0.06,0.81,1.07
"['9', '41']",['38'],0.05,0.81,1.07
"['42', '43']",['38'],0.08,0.84,1.11
"['42', '47']",['38'],0.1,0.8,1.05
"['48', '42']",['38'],0.11,0.81,1.07
"['42', '49']",['38'],0.05,0.81,1.07
"['5', '42']",['38'],0.06,0.79,1.04
"['8', '42']",['38'],0.1,0.81,1.07
"['42', '9']",['38'],0.09,0.81,1.07
"['43', '45']",['38'],0.05,0.78,1.03
"['43', '47']",['38'],0.16,0.81,1.06
"['48', '43']",['38'],0.18,0.81,1.07
"['49', '43']",['38'],0.09,0.79,1.04
"['5', '43']",['38'],0.09,0.79,1.05
"['6', '43']",['38'],0.05,0.77,1.02
"['7', '43']",['38'],0.08,0.85,1.12
"['8', '43']",['38'],0.16,0.82,1.08
"['9', '43']",['38'],0.15,0.8,1.05
"['45', '47']",['38'],0.06,0.82,1.08
"['48', '45']",['38'],0.08,0.8,1.06
"['8', '45']",['38'],0.07,0.81,1.07
"['9', '45']",['38'],0.06,0.81,1.07
"['48', '46']",['38'],0.05,0.78,1.03
"['48', '47']",['38'],0.19,0.81,1.07
"['49', '47']",['38'],0.09,0.79,1.05
"['5', '47']",['38'],0.1,0.77,1.01
"['6', '47']",['38'],0.07,0.8,1.06
"['7', '47']",['38'],0.09,0.82,1.08
"['8', '47']",['38'],0.18,0.8,1.06
"['9', '47']",['38'],0.16,0.78,1.03
"['48', '49']",['38'],0.11,0.82,1.08
"['48', '5']",['38'],0.11,0.79,1.04
"['48', '6']",['38'],0.07,0.81,1.06
"['48', '7']",['38'],0.11,0.83,1.09
"['48', '8']",['38'],0.22,0.79,1.05
"['48', '9']",['38'],0.19,0.8,1.05
"['5', '49']",['38'],0.05,0.78,1.03
"['49', '7']",['38'],0.05,0.81,1.07
"['8', '49']",['38'],0.1,0.79,1.05
"['9', '49']",['38'],0.09,0.78,1.03
"['5', '7']",['38'],0.06,0.82,1.08
"['5', '8']",['38'],0.1,0.78,1.03
"['5', '9']",['38'],0.1,0.79,1.05
"['8', '6']",['38'],0.07,0.79,1.04
"['6', '9']",['38'],0.06,0.76,1.01
"['8', '7']",['38'],0.1,0.79,1.04
"['9', '7']",['38'],0.09,0.8,1.06
"['8', '9']",['38'],0.18,0.81,1.07
"['17', '14']",['38'],0.15,0.81,1.06
"['18', '14']",['38'],0.06,0.8,1.05
"['19', '14']",['38'],0.06,0.83,1.1
"['21', '14']",['38'],0.1,0.8,1.06
"['23', '14']",['38'],0.1,0.85,1.12
"['14', '25']",['38'],0.07,0.79,1.04
"['26', '14']",['38'],0.08,0.82,1.08
"['14', '28']",['38'],0.16,0.8,1.05
"['29', '14']",['38'],0.13,0.79,1.04
"['3', '14']",['38'],0.15,0.8,1.05
"['33', '14']",['38'],0.11,0.81,1.07
"['14', '34']",['38'],0.06,0.79,1.04
"['35', '14']",['38'],0.13,0.82,1.09
"['36', '14']",['38'],0.2,0.81,1.07
"['14', '39']",['38'],0.15,0.79,1.04
"['4', '14']",['38'],0.07,0.83,1.09
"['40', '14']",['38'],0.15,0.8,1.06
"['42', '14']",['38'],0.08,0.8,1.05
"['43', '14']",['38'],0.13,0.81,1.08
"['45', '14']",['38'],0.05,0.79,1.04
"['14', '47']",['38'],0.14,0.79,1.05
"['48', '14']",['38'],0.18,0.8,1.05
"['49', '14']",['38'],0.08,0.77,1.01
"['5', '14']",['38'],0.09,0.82,1.09
"['6', '14']",['38'],0.05,0.8,1.05
"['7', '14']",['38'],0.09,0.82,1.09
"['8', '14']",['38'],0.16,0.8,1.06
"['9', '14']",['38'],0.14,0.79,1.04
"['18', '17']",['38'],0.08,0.81,1.07
"['17', '19']",['38'],0.07,0.82,1.09
"['21', '17']",['38'],0.13,0.82,1.09
"['17', '23']",['36'],0.1,0.72,1.15
"['17', '23']",['38'],0.11,0.81,1.07
"['17', '25']",['38'],0.09,0.81,1.07
"['26', '17']",['38'],0.09,0.78,1.03
"['17', '28']",['38'],0.18,0.8,1.06
"['17', '29']",['38'],0.15,0.82,1.08
"['17', '3']",['38'],0.18,0.8,1.06
"['17', '31']",['38'],0.06,0.84,1.11
"['17', '33']",['38'],0.12,0.82,1.08
"['17', '34']",['36'],0.07,0.7,1.12
"['17', '34']",['38'],0.07,0.79,1.04
"['35', '17']",['38'],0.14,0.82,1.08
"['17', '36']",['38'],0.23,0.8,1.05
"['17', '39']",['38'],0.17,0.79,1.04
"['4', '17']",['38'],0.08,0.81,1.07
"['17', '40']",['38'],0.17,0.79,1.04
"['17', '41']",['38'],0.06,0.84,1.11
"['17', '42']",['38'],0.1,0.81,1.06
"['17', '43']",['38'],0.16,0.8,1.06
"['17', '45']",['38'],0.07,0.81,1.06
"['17', '47']",['38'],0.17,0.81,1.07
"['48', '17']",['38'],0.19,0.81,1.07
"['17', '49']",['38'],0.1,0.81,1.07
"['5', '17']",['38'],0.11,0.83,1.1
"['17', '6']",['38'],0.07,0.8,1.05
"['17', '7']",['38'],0.1,0.82,1.09
"['17', '8']",['38'],0.18,0.8,1.06
"['17', '9']",['38'],0.17,0.8,1.05
"['19', '28']",['38'],0.07,0.84,1.11
"['29', '19']",['38'],0.06,0.83,1.09
"['3', '19']",['38'],0.07,0.83,1.1
"['36', '19']",['38'],0.09,0.82,1.08
"['40', '19']",['36'],0.06,0.72,1.14
"['8', '19']",['36'],0.06,0.72,1.15
"['19', '39']",['38'],0.07,0.81,1.07
"['40', '19']",['38'],0.07,0.81,1.07
"['43', '19']",['38'],0.06,0.83,1.1
"['19', '47']",['38'],0.06,0.84,1.11
"['48', '19']",['38'],0.07,0.86,1.13
"['8', '19']",['38'],0.07,0.81,1.07
"['9', '19']",['38'],0.06,0.81,1.07
"['26', '28']",['38'],0.1,0.79,1.05
"['26', '29']",['36'],0.07,0.71,1.14
"['26', '29']",['38'],0.08,0.8,1.05
"['26', '3']",['38'],0.09,0.81,1.07
"['26', '33']",['38'],0.06,0.79,1.04
"['26', '35']",['38'],0.07,0.79,1.04
"['26', '36']",['38'],0.13,0.81,1.07
"['26', '39']",['36'],0.08,0.71,1.13
"['26', '43']",['36'],0.07,0.72,1.14
"['26', '47']",['36'],0.08,0.7,1.12
"['26', '39']",['38'],0.08,0.79,1.04
"['26', '40']",['38'],0.09,0.83,1.09
"['26', '42']",['38'],0.05,0.85,1.13
"['26', '43']",['38'],0.08,0.79,1.05
"['26', '47']",['38'],0.09,0.8,1.06
"['26', '48']",['38'],0.1,0.81,1.07
"['26', '49']",['38'],0.06,0.8,1.06
"['26', '5']",['38'],0.05,0.83,1.09
"['26', '7']",['38'],0.06,0.88,1.16
"['26', '8']",['38'],0.1,0.79,1.04
"['26', '9']",['38'],0.09,0.82,1.08
"['33', '34']",['38'],0.05,0.78,1.03
"['35', '33']",['38'],0.1,0.79,1.05
"['33', '36']",['38'],0.15,0.79,1.04
"['33', '39']",['38'],0.12,0.8,1.05
"['4', '33']",['38'],0.06,0.83,1.09
"['33', '40']",['38'],0.11,0.79,1.05
"['33', '42']",['38'],0.07,0.83,1.1
"['33', '43']",['38'],0.1,0.8,1.05
"['33', '47']",['38'],0.11,0.79,1.04
"['48', '33']",['38'],0.13,0.77,1.02
"['33', '49']",['38'],0.06,0.78,1.03
"['5', '33']",['38'],0.06,0.76,1.01
"['33', '7']",['38'],0.07,0.81,1.07
"['33', '8']",['38'],0.13,0.77,1.02
"['33', '9']",['38'],0.11,0.8,1.06
"['35', '36']",['38'],0.2,0.8,1.05
"['35', '40']",['36'],0.13,0.71,1.13
"['35', '43']",['36'],0.12,0.72,1.15
"['35', '5']",['36'],0.08,0.72,1.15
"['35', '7']",['36'],0.07,0.74,1.17
"['35', '39']",['38'],0.14,0.8,1.05
"['35', '4']",['38'],0.06,0.82,1.09
"['35', '40']",['38'],0.14,0.8,1.06
"['35', '42']",['38'],0.07,0.81,1.07
"['35', '43']",['38'],0.13,0.79,1.05
"['35', '45']",['38'],0.05,0.8,1.05
"['35', '47']",['38'],0.14,0.81,1.07
"['35', '48']",['38'],0.16,0.79,1.05
"['35', '49']",['38'],0.07,0.8,1.06
"['35', '5']",['38'],0.09,0.83,1.1
"['35', '7']",['38'],0.08,0.81,1.07
"['35', '8']",['38'],0.15,0.8,1.05
"['35', '9']",['38'],0.13,0.8,1.05
"['21', '18']",['38'],0.06,0.82,1.08
"['18', '28']",['38'],0.08,0.81,1.07
"['18', '29']",['36'],0.05,0.72,1.15
"['18', '29']",['38'],0.06,0.83,1.09
"['18', '3']",['38'],0.08,0.83,1.09
"['18', '33']",['38'],0.05,0.82,1.08
"['35', '18']",['38'],0.07,0.8,1.06
"['18', '36']",['38'],0.1,0.8,1.06
"['18', '39']",['38'],0.07,0.81,1.07
"['18', '40']",['38'],0.08,0.82,1.08
"['18', '43']",['38'],0.07,0.82,1.08
"['18', '47']",['38'],0.07,0.81,1.07
"['18', '48']",['38'],0.09,0.83,1.1
"['18', '8']",['38'],0.08,0.79,1.04
"['18', '9']",['38'],0.07,0.78,1.03
"['23', '25']",['38'],0.06,0.83,1.1
"['26', '23']",['38'],0.06,0.81,1.07
"['23', '28']",['36'],0.1,0.7,1.12
"['23', '28']",['38'],0.12,0.83,1.1
"['29', '23']",['38'],0.09,0.81,1.07
"['3', '23']",['38'],0.12,0.8,1.05
"['33', '23']",['36'],0.06,0.7,1.12
"['33', '23']",['38'],0.07,0.81,1.06
"['35', '23']",['36'],0.08,0.71,1.13
"['35', '23']",['38'],0.09,0.83,1.1
"['36', '23']",['38'],0.15,0.82,1.09
"['43', '23']",['36'],0.09,0.72,1.14
"['7', '23']",['36'],0.06,0.71,1.13
"['23', '39']",['38'],0.11,0.81,1.07
"['4', '23']",['38'],0.05,0.83,1.1
"['40', '23']",['38'],0.11,0.8,1.06
"['42', '23']",['38'],0.06,0.84,1.11
"['43', '23']",['38'],0.1,0.83,1.1
"['23', '47']",['38'],0.11,0.82,1.09
"['48', '23']",['38'],0.13,0.82,1.09
"['49', '23']",['38'],0.06,0.84,1.11
"['5', '23']",['38'],0.06,0.87,1.14
"['7', '23']",['38'],0.07,0.84,1.11
"['8', '23']",['38'],0.12,0.84,1.11
"['9', '23']",['38'],0.1,0.81,1.08
"['22', '36']",['38'],0.06,0.78,1.02
"['22', '48']",['38'],0.05,0.79,1.05
"['36', '31']",['38'],0.08,0.84,1.11
"['39', '31']",['38'],0.06,0.81,1.07
"['40', '31']",['38'],0.05,0.85,1.13
"['47', '31']",['38'],0.06,0.87,1.15
"['48', '31']",['38'],0.07,0.8,1.06
"['8', '31']",['38'],0.06,0.8,1.06
"['9', '31']",['38'],0.05,0.82,1.09
"['3', '15']",['38'],0.06,0.88,1.16
"['36', '15']",['38'],0.07,0.88,1.16
"['38', '15']",['36'],0.07,0.7,1.12
"['48', '15']",['38'],0.06,0.86,1.13
"['8', '15']",['38'],0.05,0.84,1.11
"['12', '14']",['38'],0.07,0.79,1.04
"['17', '12']",['38'],0.08,0.79,1.05
"['21', '12']",['38'],0.06,0.82,1.08
"['12', '28']",['38'],0.09,0.8,1.05
"['29', '12']",['38'],0.07,0.76,1.01
"['3', '12']",['38'],0.09,0.8,1.05
"['33', '12']",['38'],0.05,0.78,1.03
"['35', '12']",['36'],0.06,0.7,1.12
"['35', '12']",['38'],0.07,0.8,1.05
"['12', '36']",['38'],0.11,0.79,1.05
"['12', '39']",['38'],0.08,0.76,1.01
"['12', '40']",['38'],0.08,0.8,1.05
"['12', '43']",['38'],0.07,0.79,1.05
"['12', '47']",['38'],0.08,0.81,1.07
"['48', '12']",['38'],0.1,0.78,1.03
"['8', '12']",['38'],0.09,0.75,0.99
"['9', '12']",['38'],0.07,0.75,0.99
"['11', '0', '17']",['38'],0.05,0.83,1.09
"['11', '0', '28']",['38'],0.06,0.79,1.04
